Title,Link,Location,Career,Education,Worktime,Deadline,Company_link,Company_name
소프트웨어 개발 (python) 신입 및 경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45268243&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울 강남구,경력무관,대졸↑,정규직,~ 05/14(일),https://www.saramin.co.kr/zf_user/company-info/view?csn=VjJLK3BoT244Vk5jdE8xOFBUT1d6dz09,인드원(주)
도전하기를 좋아하는  Python 백엔드 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45218805&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울 동대문구,경력5년↑,학력무관,정규직,~ 04/07(금),https://www.saramin.co.kr/zf_user/company-info/view?csn=VW1yN0c3dkVOdmIvTUFJSTNSQXIwZz09,주)핫셀러
Java/JSP/Python/빅데이터/AI 분야 신입~경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45182099&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울 송파구,경력무관,대졸↑,정규직,채용시,https://www.saramin.co.kr/zf_user/company-info/view?csn=M2xyWjdoQ3llU2lnek9TSHhSK0txdz09,래아이티(주)
[패스오더] 백엔드 개발자 (Spring  Python  MSA) (병역특례/산업기능요원/보충역/전직),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=42358916&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울전체,신입·경력,학력무관,정규직,상시채용,https://www.saramin.co.kr/zf_user/company-info/view?csn=ekJOVENHa0p0TzdoaTVQVHVpY3Vydz09,주)페이타랩
[전문연구요원 가능] C/C++  Python 로봇 제어 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45218897&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울 종로구,경력무관,학력무관,정규직,~ 04/07(금),https://www.saramin.co.kr/zf_user/company-info/view?csn=ZVZaQjdCQzNKUnNaNmRaZm5KQ1hJQT09,주)메디인테크
SW 엔지니어 채용(Python 개발자/대전 근무),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45334232&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,대전 유성구,경력무관,학력무관,정규직,채용시,https://www.saramin.co.kr/zf_user/company-info/view?csn=aVpPaklxdlRBUTREWW1PNDNTQ2oyQT09,드마인드(주)
기술연구소 개발자 채용(python  java 외),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45312972&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,경기 성남시 분당구,신입·경력,초대졸↑,정규직,~ 04/20(목),https://www.saramin.co.kr/zf_user/company-info/view?csn=UHNTTFZJckcydUxOQkU5WGp4M3dVdz09,지시스템(주)
[SM] 한전 발전정보시스템 Python  Java 유지보수/운영-초급,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45374771&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,전남 나주시,경력1년↑,초대졸↑,정규직·계약직,~ 04/07(금),https://www.saramin.co.kr/zf_user/company-info/view?csn=ZUFya0FFRVdmYmlLY0kwM3R1RkEwQT09,타프리마(주)
[애나] 인공지능 분야 Python 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45385756&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,인천 연수구,경력무관,대졸↑,정규직,~ 04/29(토),https://www.saramin.co.kr/zf_user/company-info/view?csn=U2tBdmYwdGRNR0N1NTFvd3QrSDFWQT09,주)애나
응용소프트웨어(C#  JAVA  Python  C  C++) 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45232731&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,경기 성남시 중원구,신입·경력,학력무관,정규직·계약직,~ 04/09(일),https://www.saramin.co.kr/zf_user/company-info/view?csn=MWxmUms5V3B6M1lDM1pFOEwrK0xxZz09,주)코아칩스
AI개발/머신러닝/딥러닝/MLOps/Pytorch/Python/FAST-API/Docker,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45336609&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울 강남구,경력1년↑,대졸↑,정규직,~ 04/22(토),https://www.saramin.co.kr/zf_user/company-info/view?csn=TFYrVDJCd1ZVTUVBSjZXZ3FLYXVJdz09,주)타날리시스
응용프로그램개발(Windows  C/C++  C#  Python 外 2개 부문)채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45217584&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,부산 금정구,신입·경력,대졸↑,정규직,상시채용,https://www.saramin.co.kr/zf_user/company-info/view?csn=TGNpOVd3NjcxTERDQ3BFMjFYM3BKUT09,큐시스템
python 인공지능개발자 신입채용[정규직],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45121838&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,대전 유성구,신입,대졸↑,정규직,채용시,https://www.saramin.co.kr/zf_user/company-info/view?csn=Zml3bmV4cVFpUExvRlJESCs0ajl6UT09,주)와이티
개발자 모집 (Python / 서버),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45231637&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울 서초구,경력무관,학력무관,정규직,~ 04/08(토),https://www.saramin.co.kr/zf_user/company-info/view?csn=NEpOM21oektRTUNudWdSc1UzOHRxZz09,성데이타(주)
Python 인턴 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45293503&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울 성동구,신입,대졸↑,인턴직,~ 04/07(금),https://www.saramin.co.kr/zf_user/company-info/view?csn=Q3Fvb21kblRmdDZ6eXEyK1poRUR4Zz09,주)로그스택
머신비전  개발자   C/C++/C#  OpenCV  MIL  PYTHON,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45079976&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,경기 용인시 기흥구,경력무관,초대졸↑,정규직·계약직,~ 04/17(월),https://www.saramin.co.kr/zf_user/company-info/view?csn=S2l6ZTBCOUlHUVhPTXoxNTZPcXRoZz09,주)핸디비전
[양재역] 데이터분석(석박사 R Python Matla,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45378657&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울 서초구,신입·경력,석사↑,전문연구요원·병역특례,~ 04/13(목),https://www.saramin.co.kr/zf_user/company-info/view?csn=K1kvQ0J4M1FzRlNqWDhHL3lGaGVhUT09,주)시니어앤파트너즈
Back-end Engineer(Python) - F&B 솔루션,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45344028&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울 강남구,경력3년↑,학력무관,정규직,상시채용,https://www.saramin.co.kr/zf_user/company-info/view?csn=ZkFWZ1JJR0Fudmd3eER6QzN1SE1Edz09,주)야놀자
프로그래머 채용-Python  C++  C#  Unity3D  머신비전  영상처리,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45051346&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,대전 유성구,경력무관,초대졸↑,정규직,~ 04/14(금),https://www.saramin.co.kr/zf_user/company-info/view?csn=TUZGUzV4V21Jd1lmK3AxT3I5bFBPQT09,주)가치소프트
[TENDOM] 백앤드 개발자(Python  Django),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45206286&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울 마포구,경력무관,고졸↑,정규직,~ 04/06(목),https://www.saramin.co.kr/zf_user/company-info/view?csn=MGUzR0dyaHoxWDdJbmxLS042YU9yQT09,주)텐덤
[글로벌디지털마케팅] Python Backend Engineer 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=43770422&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울전체,경력 5~15년,대졸↑,정규직,상시채용,https://www.saramin.co.kr/zf_user/company-info/view?csn=QXNKajBuOC9JK1cvUzZOZmVoZ1lUQT09,센트릭스서비스코리아(유)
C#  Python  JAVA 소프트웨어 개발자 채용 (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45070660&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,경기 용인시 기흥구,경력무관,초대졸↑,정규직,~ 04/29(토),https://www.saramin.co.kr/zf_user/company-info/view?csn=dWVLZmRMUTF6azdJbHZXTnN0YWJZZz09,주)미래로시스템
차량용 Software Test 자동화 개발(Python) 및 검증,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45105820&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,인천 서구,신입·경력,초대졸↑,정규직,~ 04/16(일),https://www.saramin.co.kr/zf_user/company-info/view?csn=TkFGNDlXTmk5a1FiZVZRZlhxc0NIZz09,주)링크제니시스
Java Spring 또는 Python 백엔드 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45397888&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울 강남구,경력2년↑,학력무관,정규직·전문연구요원,채용시,https://www.saramin.co.kr/zf_user/company-info/view?csn=U2F5TXIzNlhZMzN6bFZmb2kybTEwZz09,주)스카우트
웹개발(Java·JSP  Python  HTML) 경력 모집합니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45304392&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울 금천구,경력,초대졸↑,정규직,~ 05/19(금),https://www.saramin.co.kr/zf_user/company-info/view?csn=bFZvQ05ZSjJpWEZBandwYTE2VkRqQT09,래손
(주)엔피코어 웹 개발자(C# / Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45328210&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울 영등포구,경력1년↑,대졸↑,정규직,채용시,https://www.saramin.co.kr/zf_user/company-info/view?csn=UXp2RGZvbjlJSGNkNllvOXFHNFkwdz09,주)엔피코어
[아이티존]Python/Java-빅데이터솔루션개발(경력 정규직 대전),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44187454&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,대전전체,경력 2~10년,초대졸↑,정규직,상시채용,https://www.saramin.co.kr/zf_user/company-info/view?csn=Zjhwb0N2N0xxemU5U3dkV1BmNVZwUT09,주)아이티존
